Index,Global_active_power KW,Global_reactive_power KW,Apparent_power_KVA
1,4.216,0.418,4.236670862835583
2,5.36,0.436,5.377703599121097
3,5.374,0.498,5.397025106482274
4,5.388,0.502,5.411335140240346
5,3.666,0.528,3.703827749774549
6,3.52,0.522,3.5584946255404124
7,3.702,0.52,3.738342413423361
8,3.7,0.52,3.7363618668432
9,3.668,0.51,3.703285568248822
10,3.662,0.51,3.697342829654832
11,4.448,0.498,4.475791326681797
12,5.412,0.47,5.432370016852681
13,5.224,0.478,5.245823100334208
14,5.268,0.398,5.2830131553877475
15,4.054,0.422,4.075904807524337
16,3.384,0.282,3.395729671219427
17,3.27,0.152,3.273530815495709
18,3.43,0.156,3.4335456892256437
19,3.266,0.0,3.266
20,3.728,0.0,3.728
21,5.894,0.0,5.894
22,7.706,0.0,7.706
23,7.026,0.0,7.026
24,5.174,0.0,5.174
25,4.474,0.0,4.474
26,3.248,0.0,3.248
27,3.236,0.0,3.236
28,3.228,0.0,3.228
29,3.258,0.0,3.258
30,3.178,0.0,3.178
31,2.72,0.0,2.72
32,3.758,0.076,3.758768415319039
33,4.342,0.09,4.3429326497195415
34,4.512,0.0,4.512
35,4.058,0.2,4.062925546942744
36,2.472,0.058,2.472680327094467
37,2.79,0.18,2.795800422061632
38,2.624,0.144,2.62794824910994
39,2.772,0.118,2.774510407261072
40,3.74,0.108,3.741559033344256
41,4.928,0.202,4.932138278677921
42,6.052,0.192,6.055044838810031
43,6.752,0.186,6.754561421735685
44,6.474,0.144,6.4756012848229005
45,6.308,0.116,6.309066491962183
46,4.464,0.136,4.466071204089787
47,3.396,0.148,3.399223440728779
48,3.09,0.152,3.093736252494708
49,3.73,0.144,3.732778589737141
50,2.308,0.16,2.3135392799777574
51,2.388,0.158,2.393221260142906
52,4.598,0.1,4.599087300758706
53,4.524,0.076,4.524638328087672
54,4.202,0.082,4.202800019034929
55,4.472,0.0,4.472
56,2.852,0.0,2.852
57,2.928,0.0,2.928
58,2.94,0.0,2.94
59,2.934,0.0,2.934
60,2.926,0.0,2.926
61,3.452,0.0,3.452
62,4.87,0.0,4.87
63,4.868,0.0,4.868
64,4.866,0.0,4.866
65,3.176,0.0,3.176
66,2.92,0.0,2.92
67,2.93,0.0,2.93
68,2.912,0.05,2.9124292266079186
69,2.608,0.052,2.608518353395276
70,2.714,0.162,2.7188306309882564
71,3.538,0.086,3.5390450689416206
72,6.072,0.0,6.072
73,4.536,0.0,4.536
74,4.408,0.0,4.408
75,2.912,0.048,2.9123955775272012
76,2.326,0.054,2.3266267427329206
77,2.264,0.054,2.2646439013672763
78,2.27,0.054,2.2706421999073303
79,2.258,0.054,2.2586456118656595
80,2.188,0.068,2.1890564177288807
81,2.978,0.166,2.982623006683882
82,4.2,0.174,4.203602740507243
83,4.204,0.186,4.208112641077945
84,4.218,0.178,4.221754137796278
85,2.786,0.188,2.792335939674881
86,2.54,0.088,2.5415239522774518
87,2.496,0.08,2.497281722193153
88,2.336,0.07,2.337048566033663
89,2.322,0.0,2.322
90,2.448,0.0,2.448
91,4.298,0.0,4.298
92,4.23,0.09,4.2309573384755375
93,4.23,0.09,4.2309573384755375
94,3.924,0.084,3.924898979591704
95,4.218,0.09,4.218960061436941
96,4.224,0.09,4.224958698022976
97,4.07,0.088,4.070951240189448
98,3.612,0.09,3.6131210884773846
99,3.458,0.09,3.459170998953362
100,3.434,0.09,3.4351791801884226
101,3.366,0.0,3.366
102,3.404,0.082,3.404987518332483
103,3.382,0.074,3.3828094832550057
104,3.616,0.106,3.6175533168151097
105,3.476,0.092,3.4772172782269446
106,3.394,0.064,3.3946033641649507
107,3.4,0.0,3.4
108,3.414,0.0,3.414
109,3.432,0.0,3.432
110,3.418,0.0,3.418
111,3.392,0.0,3.392
112,3.394,0.0,3.394
113,3.394,0.0,3.394
114,3.406,0.0,3.406
115,3.42,0.0,3.42
116,3.418,0.0,3.418
117,3.422,0.052,3.422395067785132
118,3.332,0.0,3.332
119,3.316,0.046,3.3163190437592096
120,3.334,0.0,3.334
121,3.262,0.052,3.262414443322614
122,3.476,0.064,3.476589133044053
123,3.62,0.09,3.6211186116999814
124,3.61,0.084,3.610977153070897
125,3.646,0.138,3.64861069449729
126,3.614,0.192,3.6190965723506188
127,3.408,0.162,3.4118481795062334
128,3.388,0.134,3.3906489054456816
129,3.372,0.132,3.3745826408609405
130,3.37,0.132,3.372584172411417
131,3.342,0.12,3.3441537046015095
132,3.284,0.0,3.284
133,3.276,0.0,3.276
134,3.382,0.13,3.3844975993491264
135,3.418,0.16,3.421742830780829
136,3.396,0.158,3.3996735137362823
137,3.406,0.158,3.409662739920182
138,3.406,0.158,3.409662739920182
139,3.392,0.156,3.395585369269929
140,3.378,0.154,3.381508539099081
141,3.368,0.154,3.3715189455199566
142,3.35,0.152,3.3534465852313797
143,3.352,0.152,3.3554445309079393
144,3.364,0.154,3.3675231253845905
145,3.38,0.156,3.383598084879467
146,3.404,0.16,3.407758207385025
147,3.378,0.156,3.381600212916956
148,3.388,0.158,3.3916821785067066
149,3.376,0.156,3.3796023434717877
150,3.254,0.0,3.254
151,3.214,0.078,3.2149463448088835
152,3.202,0.078,3.20294989033547
153,3.202,0.078,3.20294989033547
154,3.212,0.078,3.212946933891066
155,3.206,0.078,3.206948705545506
156,3.214,0.078,3.2149463448088835
157,3.206,0.078,3.206948705545506
158,3.222,0.078,3.222943995790184
159,3.216,0.076,3.216897884608711
160,3.216,0.078,3.2169457564590673
161,3.194,0.078,3.194952268814043
162,3.278,0.0,3.278
163,3.282,0.0,3.282
164,3.292,0.0,3.292
165,3.316,0.0,3.316
166,3.37,0.08,3.370949421157191
167,3.42,0.144,3.423030236500986
168,3.41,0.142,3.412955317609652
169,3.4,0.14,3.402881132217227
170,3.4,0.14,3.402881132217227
171,3.388,0.14,3.3908913282498454
172,3.37,0.086,3.37109715078044
173,3.332,0.0,3.332
174,3.31,0.0,3.31
175,3.312,0.0,3.312
176,3.314,0.0,3.314
177,3.302,0.0,3.302
178,3.302,0.0,3.302
179,3.3,0.0,3.3
180,3.29,0.0,3.29
181,3.286,0.0,3.286
182,3.23,0.052,3.230418548733275
183,3.218,0.078,3.218945168840252
184,3.258,0.076,3.258886312837562
185,3.264,0.076,3.2648846840279058
186,3.26,0.076,3.2608857692351014
187,3.262,0.076,3.2628852262989576
188,3.264,0.076,3.2648846840279058
189,3.238,0.076,3.238891785781056
190,3.228,0.078,3.228942241663669
191,3.222,0.078,3.222943995790184
192,3.226,0.078,3.22694282564783
193,3.206,0.078,3.206948705545506
194,3.188,0.08,3.1890036061440883
195,3.196,0.08,3.1970010947761653
196,3.204,0.078,3.204949297570868
197,3.232,0.078,3.232941075862658
198,3.254,0.074,3.2548413171766146
199,3.376,0.05,3.3763702403616813
200,3.372,0.048,3.372341619705809
201,3.366,0.048,3.3663422285917397
202,3.386,0.05,3.386369147036395
203,3.496,0.146,3.4990472989086614
204,3.426,0.146,3.4291095053964087
205,3.44,0.148,3.443182249024875
206,3.44,0.146,3.443096861838191
207,3.454,0.15,3.457255558965811
208,3.45,0.15,3.453259329966402
209,3.48,0.154,3.4834058046687586
210,3.474,0.152,3.477323683524443
211,3.456,0.15,3.459253676734333
212,1.832,0.17,1.839870647627164
213,2.044,0.102,2.0465434273427965
214,3.354,0.0,3.354
215,3.282,0.074,3.2828341414089137
216,3.308,0.074,3.3088275869256165
217,3.314,0.072,3.314782044116928
218,3.306,0.072,3.3067839360925895
219,1.692,0.054,1.6928614828154132
220,3.342,0.07,3.3427330135683886
221,3.354,0.07,3.354730391551607
222,3.334,0.072,3.3347773538873624
223,3.33,0.072,3.3307782874277296
224,2.74,0.064,2.7407473433353906
225,2.188,0.06,2.1888225145040883
226,3.33,0.07,3.3307356544763502
227,3.34,0.07,3.3407334524023313
228,3.306,0.072,3.3067839360925895
229,3.044,0.072,3.044851392104383
230,1.766,0.058,1.7669521781870612
231,3.376,0.0,3.376
232,3.414,0.052,3.4143959934371995
233,3.426,0.054,3.4264255427485946
234,3.42,0.054,3.4204262892218567
235,1.876,0.074,1.8774589209886854
236,3.442,0.056,3.442455518957362
237,3.414,0.054,3.4144270383184354
238,3.412,0.056,3.4124595235694737
239,2.542,0.068,2.5429093574093433
240,2.82,0.062,2.820681477941102
241,3.41,0.054,3.4104275391803887
242,3.392,0.052,3.392398561490085
243,2.878,0.06,2.878625366385838
244,1.848,0.112,1.8513908285394525
245,3.494,0.144,3.4969661136476575
246,3.42,0.0,3.42
247,3.226,0.0,3.226
248,1.948,0.0,1.948
249,3.392,0.0,3.392
250,3.368,0.0,3.368
251,3.378,0.0,3.378
252,1.872,0.0,1.872
253,3.212,0.0,3.212
254,3.346,0.0,3.346
255,3.308,0.072,3.3087834622410695
256,3.302,0.072,3.3027848855170694
257,2.36,0.064,2.3608676371198785
258,2.652,0.046,2.6523989141906994
259,3.392,0.0,3.392
260,3.398,0.0,3.398
261,3.424,0.046,3.424308981385879
262,1.86,0.066,1.8611705993809382
263,3.25,0.082,3.251034296958431
264,3.502,0.172,3.506221327868507
265,3.484,0.17,3.488145065790699
266,3.478,0.168,3.4820551402871267
267,1.696,0.194,1.7070594600071785
268,3.494,0.17,3.4981332164455945
269,3.482,0.17,3.4861474438124387
270,3.48,0.17,3.484149824562658
271,3.474,0.168,3.478059803971174
272,2.308,0.184,2.3153228716531093
273,2.926,0.178,2.931409217424275
274,3.472,0.17,3.476159374942409
275,3.48,0.17,3.484149824562658
276,3.454,0.168,3.4580832841329894
277,3.464,0.17,3.4681689693554434
278,1.786,0.096,1.788578206285652
279,3.182,0.0,3.182
280,3.378,0.0,3.378
281,3.372,0.0,3.372
282,3.362,0.0,3.362
283,3.112,0.0,3.112
284,1.614,0.056,1.614971207173676
285,3.358,0.0,3.358
286,3.388,0.0,3.388
287,3.392,0.0,3.392
288,2.81,0.0,2.81
289,2.18,0.0,2.18
290,3.37,0.0,3.37
291,3.326,0.0,3.326
292,2.778,0.0,2.778
293,2.358,0.0,2.358
294,0.96,0.054,0.9615175505418505
295,1.606,0.0,1.606
296,2.35,0.0,2.35
297,2.428,0.068,2.4289520374021385
298,2.078,0.072,2.0792469790768
299,0.78,0.09,0.7851751396981441
300,2.426,0.068,2.4269528219559606
301,2.412,0.066,2.412902816111747
302,2.428,0.07,2.429008851363041
303,1.53,0.084,1.5323041473545649
304,1.388,0.086,1.390661712998528
305,2.424,0.07,2.4250105154411186
306,2.428,0.072,2.429067310718252
307,2.388,0.07,2.3890257428500012
308,0.376,0.1,0.389070687664851
309,2.202,0.074,2.2032430642123892
310,2.43,0.07,2.431008021377141
311,2.346,0.052,2.34657622931794
