Index,Global_active_power KW,Sub_metering_1 J,Sub_metering_2 J,Sub_metering_3 J
1,4.216,0,1,17
2,5.36,0,1,16
3,5.374,0,2,17
4,5.388,0,1,17
5,3.666,0,1,17
6,3.52,0,2,17
7,3.702,0,1,17
8,3.7,0,1,17
9,3.668,0,1,17
10,3.662,0,2,16
11,4.448,0,1,17
12,5.412,0,1,17
13,5.224,0,1,16
14,5.268,0,2,17
15,4.054,0,1,17
16,3.384,0,0,17
17,3.27,0,0,17
18,3.43,0,0,17
19,3.266,0,0,18
20,3.728,0,0,17
21,5.894,0,0,16
22,7.706,0,0,17
23,7.026,0,0,16
24,5.174,0,0,17
25,4.474,0,0,17
26,3.248,0,0,17
27,3.236,0,0,17
28,3.228,0,0,17
29,3.258,0,0,17
30,3.178,0,0,17
31,2.72,0,0,17
32,3.758,0,0,17
33,4.342,0,0,16
34,4.512,0,0,17
35,4.058,0,0,17
36,2.472,0,0,17
37,2.79,0,0,18
38,2.624,0,0,17
39,2.772,0,0,17
40,3.74,0,16,18
41,4.928,0,37,16
42,6.052,0,37,17
43,6.752,0,36,17
44,6.474,0,37,16
45,6.308,0,36,17
46,4.464,0,37,16
47,3.396,0,22,18
48,3.09,0,12,17
49,3.73,0,27,17
50,2.308,0,1,17
51,2.388,0,1,17
52,4.598,0,20,17
53,4.524,0,9,17
54,4.202,0,1,17
55,4.472,0,1,16
56,2.852,0,1,17
57,2.928,0,1,17
58,2.94,0,2,17
59,2.934,0,1,17
60,2.926,0,1,17
61,3.452,0,1,17
62,4.87,0,1,17
63,4.868,0,1,17
64,4.866,0,1,17
65,3.176,0,1,17
66,2.92,0,1,17
67,2.93,0,1,17
68,2.912,0,1,17
69,2.608,0,1,17
70,2.714,0,0,17
71,3.538,0,1,16
72,6.072,0,27,17
73,4.536,0,1,17
74,4.408,0,1,16
75,2.912,0,1,17
76,2.326,0,1,17
77,2.264,0,1,17
78,2.27,0,1,17
79,2.258,0,1,17
80,2.188,0,1,17
81,2.978,0,1,17
82,4.2,0,1,17
83,4.204,0,1,16
84,4.218,0,1,17
85,2.786,0,2,17
86,2.54,0,4,17
87,2.496,0,3,17
88,2.336,0,1,16
89,2.322,0,0,17
90,2.448,0,1,17
91,4.298,0,1,16
92,4.23,0,1,17
93,4.23,0,2,16
94,3.924,0,1,17
95,4.218,0,1,17
96,4.224,0,1,16
97,4.07,0,1,17
98,3.612,0,2,16
99,3.458,0,1,17
100,3.434,0,1,16
101,3.366,0,1,17
102,3.404,0,2,16
103,3.382,0,0,17
104,3.616,0,4,17
105,3.476,0,3,17
106,3.394,0,0,17
107,3.4,0,1,17
108,3.414,0,1,17
109,3.432,0,1,16
110,3.418,0,2,17
111,3.392,0,1,17
112,3.394,0,1,17
113,3.394,0,1,16
114,3.406,0,2,17
115,3.42,0,1,17
116,3.418,0,1,17
117,3.422,0,1,17
118,3.332,0,1,16
119,3.316,0,1,17
120,3.334,0,2,17
121,3.262,0,0,17
122,3.476,0,3,16
123,3.62,0,5,17
124,3.61,0,5,17
125,3.646,0,5,17
126,3.614,0,5,17
127,3.408,0,2,16
128,3.388,0,1,17
129,3.372,0,2,17
130,3.37,0,1,16
131,3.342,0,1,17
132,3.284,0,2,16
133,3.276,0,1,17
134,3.382,0,2,17
135,3.418,0,1,16
136,3.396,0,1,17
137,3.406,0,2,16
138,3.406,0,1,17
139,3.392,0,1,17
140,3.378,0,2,16
141,3.368,0,1,17
142,3.35,0,1,16
143,3.352,0,2,17
144,3.364,0,1,16
145,3.38,0,1,17
146,3.404,0,1,17
147,3.378,0,2,16
148,3.388,0,1,17
149,3.376,0,1,17
150,3.254,0,0,16
151,3.214,0,0,17
152,3.202,0,0,16
153,3.202,0,0,17
154,3.212,0,0,16
155,3.206,0,0,17
156,3.214,0,0,17
157,3.206,0,0,16
158,3.222,0,0,17
159,3.216,0,0,16
160,3.216,0,0,17
161,3.194,0,0,16
162,3.278,0,0,17
163,3.282,0,0,17
164,3.292,0,0,16
165,3.316,0,0,17
166,3.37,0,0,17
167,3.42,0,0,17
168,3.41,0,0,16
169,3.4,0,0,17
170,3.4,0,0,17
171,3.388,0,0,16
172,3.37,0,0,17
173,3.332,0,0,17
174,3.31,0,0,17
175,3.312,0,0,16
176,3.314,0,0,17
177,3.302,0,0,16
178,3.302,0,0,17
179,3.3,0,0,17
180,3.29,0,0,16
181,3.286,0,0,17
182,3.23,0,0,16
183,3.218,0,0,17
184,3.258,0,0,17
185,3.264,0,0,17
186,3.26,0,0,17
187,3.262,0,0,17
188,3.264,0,0,16
189,3.238,0,0,17
190,3.228,0,0,17
191,3.222,0,0,17
192,3.226,0,0,16
193,3.206,0,0,17
194,3.188,0,0,16
195,3.196,0,0,17
196,3.204,0,0,16
197,3.232,0,0,17
198,3.254,0,0,17
199,3.376,0,0,17
200,3.372,0,0,17
201,3.366,0,0,17
202,3.386,0,0,17
203,3.496,0,0,17
204,3.426,0,0,17
205,3.44,0,0,17
206,3.44,0,0,17
207,3.454,0,0,17
208,3.45,0,0,17
209,3.48,0,0,17
210,3.474,0,0,17
211,3.456,0,0,17
212,1.832,0,0,17
213,2.044,0,0,18
214,3.354,0,0,17
215,3.282,0,0,17
216,3.308,0,0,17
217,3.314,0,0,17
218,3.306,0,0,17
219,1.692,0,0,18
220,3.342,0,0,17
221,3.354,0,0,17
222,3.334,0,0,18
223,3.33,0,0,17
224,2.74,0,0,17
225,2.188,0,0,18
226,3.33,0,0,17
227,3.34,0,0,17
228,3.306,0,0,17
229,3.044,0,0,17
230,1.766,0,0,18
231,3.376,0,0,17
232,3.414,0,0,17
233,3.426,0,0,17
234,3.42,0,0,17
235,1.876,0,0,18
236,3.442,0,0,17
237,3.414,0,0,17
238,3.412,0,0,17
