Index,Global_active_power,Global_reactive_power
1,4.216,0.418
2,5.36,0.436
3,5.374,0.498
4,5.388,0.502
5,3.666,0.528
6,3.52,0.522
7,3.702,0.52
8,3.7,0.52
9,3.668,0.51
10,3.662,0.51
11,4.448,0.498
12,5.412,0.47
13,5.224,0.478
14,5.268,0.398
15,4.054,0.422
16,3.384,0.282
17,3.27,0.152
18,3.43,0.156
19,3.266,0.0
20,3.728,0.0
21,5.894,0.0
22,7.706,0.0
23,7.026,0.0
24,5.174,0.0
25,4.474,0.0
26,3.248,0.0
27,3.236,0.0
28,3.228,0.0
29,3.258,0.0
30,3.178,0.0
31,2.72,0.0
32,3.758,0.076
33,4.342,0.09
34,4.512,0.0
35,4.058,0.2
36,2.472,0.058
37,2.79,0.18
38,2.624,0.144
39,2.772,0.118
40,3.74,0.108
41,4.928,0.202
42,6.052,0.192
43,6.752,0.186
44,6.474,0.144
45,6.308,0.116
46,4.464,0.136
47,3.396,0.148
48,3.09,0.152
49,3.73,0.144
50,2.308,0.16
51,2.388,0.158
52,4.598,0.1
53,4.524,0.076
54,4.202,0.082
55,4.472,0.0
56,2.852,0.0
57,2.928,0.0
58,2.94,0.0
59,2.934,0.0
60,2.926,0.0
61,3.452,0.0
62,4.87,0.0
63,4.868,0.0
64,4.866,0.0
65,3.176,0.0
66,2.92,0.0
67,2.93,0.0
68,2.912,0.05
69,2.608,0.052
70,2.714,0.162
71,3.538,0.086
72,6.072,0.0
73,4.536,0.0
74,4.408,0.0
75,2.912,0.048
76,2.326,0.054
77,2.264,0.054
78,2.27,0.054
79,2.258,0.054
80,2.188,0.068
81,2.978,0.166
82,4.2,0.174
83,4.204,0.186
84,4.218,0.178
85,2.786,0.188
86,2.54,0.088
87,2.496,0.08
88,2.336,0.07
89,2.322,0.0
90,2.448,0.0
91,4.298,0.0
92,4.23,0.09
93,4.23,0.09
94,3.924,0.084
95,4.218,0.09
96,4.224,0.09
97,4.07,0.088
98,3.612,0.09
99,3.458,0.09
100,3.434,0.09
101,3.366,0.0
102,3.404,0.082
103,3.382,0.074
104,3.616,0.106
105,3.476,0.092
106,3.394,0.064
107,3.4,0.0
108,3.414,0.0
109,3.432,0.0
110,3.418,0.0
111,3.392,0.0
112,3.394,0.0
113,3.394,0.0
114,3.406,0.0
115,3.42,0.0
116,3.418,0.0
117,3.422,0.052
118,3.332,0.0
119,3.316,0.046
120,3.334,0.0
121,3.262,0.052
122,3.476,0.064
123,3.62,0.09
124,3.61,0.084
125,3.646,0.138
126,3.614,0.192
127,3.408,0.162
128,3.388,0.134
129,3.372,0.132
130,3.37,0.132
131,3.342,0.12
132,3.284,0.0
133,3.276,0.0
134,3.382,0.13
135,3.418,0.16
136,3.396,0.158
137,3.406,0.158
138,3.406,0.158
139,3.392,0.156
140,3.378,0.154
141,3.368,0.154
142,3.35,0.152
143,3.352,0.152
144,3.364,0.154
145,3.38,0.156
146,3.404,0.16
147,3.378,0.156
148,3.388,0.158
149,3.376,0.156
150,3.254,0.0
151,3.214,0.078
152,3.202,0.078
153,3.202,0.078
154,3.212,0.078
155,3.206,0.078
156,3.214,0.078
157,3.206,0.078
158,3.222,0.078
159,3.216,0.076
160,3.216,0.078
161,3.194,0.078
162,3.278,0.0
163,3.282,0.0
164,3.292,0.0
165,3.316,0.0
166,3.37,0.08
167,3.42,0.144
168,3.41,0.142
169,3.4,0.14
170,3.4,0.14
171,3.388,0.14
172,3.37,0.086
173,3.332,0.0
174,3.31,0.0
175,3.312,0.0
176,3.314,0.0
177,3.302,0.0
178,3.302,0.0
179,3.3,0.0
180,3.29,0.0
181,3.286,0.0
182,3.23,0.052
183,3.218,0.078
184,3.258,0.076
185,3.264,0.076
186,3.26,0.076
187,3.262,0.076
188,3.264,0.076
189,3.238,0.076
190,3.228,0.078
191,3.222,0.078
192,3.226,0.078
193,3.206,0.078
194,3.188,0.08
195,3.196,0.08
196,3.204,0.078
197,3.232,0.078
198,3.254,0.074
199,3.376,0.05
200,3.372,0.048
201,3.366,0.048
202,3.386,0.05
203,3.496,0.146
204,3.426,0.146
205,3.44,0.148
206,3.44,0.146
207,3.454,0.15
208,3.45,0.15
209,3.48,0.154
210,3.474,0.152
211,3.456,0.15
212,1.832,0.17
213,2.044,0.102
214,3.354,0.0
215,3.282,0.074
216,3.308,0.074
217,3.314,0.072
218,3.306,0.072
219,1.692,0.054
220,3.342,0.07
221,3.354,0.07
222,3.334,0.072
223,3.33,0.072
224,2.74,0.064
225,2.188,0.06
226,3.33,0.07
227,3.34,0.07
228,3.306,0.072
229,3.044,0.072
230,1.766,0.058
231,3.376,0.0
232,3.414,0.052
233,3.426,0.054
234,3.42,0.054
235,1.876,0.074
236,3.442,0.056
237,3.414,0.054
238,3.412,0.056
239,2.542,0.068
240,2.82,0.062
241,3.41,0.054
242,3.392,0.052
243,2.878,0.06
244,1.848,0.112
245,3.494,0.144
246,3.42,0.0
247,3.226,0.0
248,1.948,0.0
249,3.392,0.0
250,3.368,0.0
251,3.378,0.0
252,1.872,0.0
253,3.212,0.0
